keys,ru
"⚠ STORM INCOMING — EXTRACT","⚠ ШТОРМ БЛИЗКО — ЭВАКУИРУЙТЕСЬ"
"⚑ TEAMMATE DOWN","⚑ СОЮЗНИК СБИТ"
"⚠ FINAL WAVE","⚠ ФИНАЛЬНАЯ ВОЛНА"
"  (RELOADING)","  (ПЕРЕЗАРЯДКА)"
"WASD Move   Shift Sprint   Space Jump
LMB Fire   RMB Aim   Q Swap shoulder
1-5 / Wheel Weapon   R Reload
G Grenade   H Heal   E Loot   I Inventory   M Map","WASD движение   Shift спринт   Space прыжок
ЛКМ огонь   ПКМ прицел   Q смена плеча
1-5 / колесо оружие   R перезарядка
G граната   H аптечка   E лут   I инвентарь   M карта"
"WAVE %d CLEARED","ВОЛНА %d ЗАЧИЩЕНА"
"WAVE %d","ВОЛНА %d"
"PREPARING…","ПОДГОТОВКА…"
"+%d SCRAP  (loot %d · survival %d)","+%d КР  (лут %d · выживание %d)"
"EXTRACTED — YOU WIN","ЭВАКУАЦИЯ — ПОБЕДА"
"KIA — gear lost","ПОГИБ — снаряжение потеряно"
"%s

Press ENTER to restart","%s

ENTER — перезапуск"
"Hold on for a teammate","Держись — союзник поднимет"
"Use Self-Revive Kit [H]  ·  or hold on for a teammate","Аптечка самоподъёма [H]  ·  или жди союзника"
"DOWNED — bleeding out
%s","СБИТ — истекаешь кровью
%s"
"RIFLE","ВИНТОВКА"
"+ %s x%d","+ %s x%d"
"Enemy","Враг"
"%s destroyed","%s уничтожен"
"TACTICAL MAP","ТАКТИЧЕСКАЯ КАРТА"
"FINAL WAVE — STORM","ФИНАЛЬНАЯ ВОЛНА — ШТОРМ"
"TIME  %s","ВРЕМЯ  %s"
"WAVE  %d","ВОЛНА  %d"
"You","Ты"
"Evac (open)","Эвак (открыт)"
"Evac (closed)","Эвак (закрыт)"
"POI","Точка"
"POI %d","Точка %d"
"[M] close","[M] закрыть"
"Supply Cache","Тайник снабжения"
"Mini-boss","Мини-босс"
"Contested","Горячая зона"
"Surge","Всплеск"
"Tier 1","Уровень 1"
"Tier 2","Уровень 2"
"Tier 3","Уровень 3"
"EXTRACT","ЭВАКУАЦИЯ"
"(closed)","(закрыто)"
"N","С"
"S","Ю"
"SIGNAL","СИГНАЛ"
"LOST","ПОТЕРЯН"
"SQUAD — KILLS","ОТРЯД — УБИЙСТВА"
"PLAYER","ИГРОК"
"KILLS","УБИЙСТВА"
"DEATHS","СМЕРТИ"
"REVIVES","ПОДЪЁМЫ"
